cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.1,0.34,300,7,9,14,0.01,0.444,0.529
0.4,0.1,300,7,9,14,0.01,0.444,0.529
0.7,0.24,200,1,14,22,0.01,0.786,0.664
0.4,0.38,500,7,8,25,0.01,0.375,0.664
0.5,0.44,200,7,18,24,0.01,0.537,0.45
0.2,0.26,350,1,9,20,0.01,0.667,0.62
0.2,0.18,250,7,19,25,0.01,0.561,0.496
0.2,0.2,350,1,9,20,0.01,0.667,0.62
0.5,0.46,400,7,19,24,0.01,0.561,0.433
1.0,0.1,400,7,19,24,0.01,0.561,0.433
0.8,0.36,500,7,8,25,0.01,0.375,0.664
1.0,0.26,450,1,19,19,0.01,0.842,0.505
0.1,0.44,300,7,9,14,0.01,0.444,0.529
0.1,0.4,200,7,19,25,0.01,0.737,0.576
0.5,0.04,200,7,19,25,0.01,0.737,0.576
0.9,0.06,350,1,9,20,0.01,0.667,0.62
0.7,0.08,400,7,19,24,0.01,0.561,0.433
0.9,0.14,200,7,14,27,0.01,0.643,0.622
0.7,0.24,500,7,8,25,0.01,0.375,0.664
0.2,0.22,100,1,9,20,0.01,0.667,0.62
0.4,0.28,150,7,19,24,0.01,0.561,0.433
0.8,0.22,150,7,19,24,0.01,0.561,0.433
0.7,0.02,400,7,19,24,0.01,0.561,0.433
0.4,0.22,400,7,19,24,0.01,0.561,0.433
0.9,0.42,150,7,19,24,0.01,0.561,0.433
0.7,0.36,150,7,19,24,0.01,0.561,0.433
0.3,0.04,250,7,19,25,0.01,0.561,0.496
1.0,0.14,200,7,21,25,0.01,0.603,0.432
0.4,0.2,500,7,8,25,0.01,0.375,0.664
0.7,0.04,300,7,9,14,0.01,0.444,0.529
0.8,0.24,250,7,19,25,0.01,0.561,0.496
0.7,0.02,100,1,9,20,0.01,0.667,0.62
0.3,0.06,500,7,8,25,0.01,0.375,0.664
1.0,0.38,500,7,8,25,0.01,0.375,0.664
0.9,0.22,300,7,9,14,0.01,0.444,0.529
0.8,0.34,250,7,19,25,0.01,0.561,0.496
0.8,0.34,450,1,19,19,0.01,0.842,0.505
0.8,0.16,500,7,8,25,0.01,0.375,0.664
0.1,0.06,500,7,8,25,0.01,0.375,0.664
0.3,0.38,150,7,19,24,0.01,0.561,0.433
0.8,0.18,500,7,8,25,0.01,0.375,0.664
0.1,0.16,250,7,19,25,0.01,0.561,0.496
0.1,0.04,350,1,9,20,0.01,0.667,0.62
0.6,0.42,250,7,19,25,0.01,0.561,0.496
0.7,0.12,300,7,9,14,0.01,0.444,0.529
0.5,0.46,250,7,19,25,0.01,0.561,0.496
0.7,0.28,300,7,9,14,0.01,0.444,0.529
0.6,0.48,250,7,19,25,0.01,0.561,0.496
0.2,0.04,300,7,9,14,0.01,0.444,0.529
0.3,0.34,200,1,2,16,0.01,0.667,0.75
0.1,0.38,150,7,19,24,0.01,0.561,0.433
0.3,0.34,150,7,19,24,0.01,0.561,0.433
0.3,0.48,250,7,19,25,0.01,0.561,0.496
0.2,0.46,300,7,9,14,0.01,0.444,0.529
0.7,0.22,100,1,9,20,0.01,0.667,0.62
0.9,0.08,100,1,9,22,0.01,0.667,0.655
0.5,0.16,450,1,19,19,0.01,0.842,0.505
0.9,0.18,100,1,9,22,0.01,0.667,0.655
0.2,0.14,450,1,19,19,0.01,0.842,0.505
0.5,0.02,250,7,19,25,0.01,0.561,0.496
1.0,0.44,350,1,9,20,0.01,0.667,0.62
0.6,0.26,400,7,19,24,0.01,0.561,0.433
0.8,0.38,250,7,19,25,0.01,0.561,0.496
0.5,0.44,400,7,19,24,0.01,0.561,0.433
0.3,0.38,400,7,19,24,0.01,0.561,0.433
0.3,0.2,450,1,19,19,0.01,0.842,0.505
0.8,0.08,100,1,9,20,0.01,0.667,0.62
1.0,0.36,150,7,19,24,0.01,0.561,0.433
0.7,0.36,350,1,9,20,0.01,0.667,0.62
0.4,0.38,450,1,19,19,0.01,0.842,0.505
1.0,0.08,250,7,19,25,0.01,0.561,0.496
0.1,0.14,450,1,19,19,0.01,0.842,0.505
1.0,0.24,500,7,8,25,0.01,0.375,0.664
1.0,0.2,400,7,19,24,0.01,0.561,0.433
0.9,0.32,450,1,19,19,0.01,0.842,0.505
0.2,0.12,100,1,9,20,0.01,0.667,0.62
0.2,0.44,150,7,19,24,0.01,0.561,0.433
0.4,0.4,450,1,19,19,0.01,0.842,0.505
1.0,0.48,450,1,19,19,0.01,0.842,0.505
0.7,0.36,450,1,19,19,0.01,0.842,0.505
0.3,0.46,400,7,19,24,0.01,0.561,0.433
0.1,0.02,350,1,9,20,0.01,0.667,0.62
0.9,0.46,100,1,9,14,0.01,0.926,0.643
0.8,0.48,350,1,9,20,0.01,0.667,0.62
0.9,0.24,300,7,9,14,0.01,0.444,0.529
0.6,0.28,500,7,8,25,0.01,0.375,0.664
0.9,0.46,250,7,19,25,0.01,0.561,0.496
0.5,0.3,200,7,19,25,0.01,0.737,0.576
0.1,0.1,350,1,9,20,0.01,0.667,0.62
0.5,0.08,300,7,9,14,0.01,0.444,0.529
0.6,0.06,100,1,9,14,0.01,0.926,0.643
0.4,0.32,150,7,19,24,0.01,0.561,0.433
0.2,0.08,400,7,19,24,0.01,0.561,0.433
0.7,0.2,150,7,19,24,0.01,0.561,0.433
0.2,0.4,150,7,19,24,0.01,0.561,0.433
0.9,0.24,500,7,8,25,0.01,0.375,0.664
0.8,0.18,400,7,19,24,0.01,0.561,0.433
0.7,0.24,150,7,19,24,0.01,0.561,0.433
0.3,0.48,500,7,8,25,0.01,0.375,0.664
0.7,0.26,400,7,19,24,0.01,0.561,0.433
0.6,0.38,400,7,19,24,0.01,0.561,0.433
0.5,0.32,300,7,9,14,0.01,0.444,0.529
0.2,0.48,250,7,19,25,0.01,0.561,0.496
0.9,0.26,200,1,9,20,0.01,0.667,0.73
1.0,0.18,200,7,21,25,0.01,0.603,0.432
0.7,0.02,350,1,9,20,0.01,0.667,0.62
0.5,0.46,350,1,9,20,0.01,0.667,0.62
0.3,0.36,350,1,9,20,0.01,0.667,0.62
0.6,0.12,350,1,9,20,0.01,0.667,0.62
0.7,0.04,200,7,14,21,0.01,0.643,0.543
0.6,0.12,500,7,8,25,0.01,0.375,0.664
0.2,0.02,200,7,19,25,0.01,0.737,0.576
0.4,0.44,200,7,18,25,0.01,0.741,0.592
0.4,0.38,400,7,19,24,0.01,0.561,0.433
0.3,0.4,450,1,19,19,0.01,0.842,0.505
0.9,0.2,100,1,9,22,0.01,0.667,0.655
0.2,0.38,250,7,19,25,0.01,0.561,0.496
0.9,0.24,150,7,19,24,0.01,0.561,0.433
0.8,0.48,200,1,2,11,0.01,0.667,0.782
0.6,0.48,500,7,8,25,0.01,0.375,0.664
0.3,0.1,200,7,19,25,0.01,0.737,0.576
0.9,0.18,350,1,9,20,0.01,0.667,0.62
0.1,0.3,500,7,8,25,0.01,0.375,0.664
0.7,0.1,250,7,19,25,0.01,0.561,0.496
0.1,0.28,150,7,19,24,0.01,0.561,0.433
0.9,0.38,250,7,19,25,0.01,0.561,0.496
0.9,0.08,300,7,9,14,0.01,0.444,0.529
0.6,0.3,500,7,8,25,0.01,0.375,0.664
0.3,0.16,350,1,9,20,0.01,0.667,0.62
0.9,0.1,250,7,19,25,0.01,0.561,0.496
0.5,0.4,200,7,18,21,0.01,0.537,0.39
0.8,0.1,250,7,19,25,0.01,0.561,0.496
1.0,0.2,250,7,19,25,0.01,0.561,0.496
0.3,0.4,400,7,19,24,0.01,0.561,0.433
1.0,0.46,200,7,21,25,0.01,0.603,0.432
0.5,0.18,100,7,18,24,0.01,0.741,0.575
0.5,0.08,350,1,9,20,0.01,0.667,0.62
0.1,0.2,200,7,19,25,0.01,0.737,0.576
0.1,0.38,450,1,19,19,0.01,0.842,0.505
0.5,0.34,200,7,18,24,0.01,0.537,0.45
0.5,0.04,250,7,19,25,0.01,0.561,0.496
0.3,0.18,300,7,9,14,0.01,0.444,0.529
0.1,0.14,500,7,8,25,0.01,0.375,0.664
0.1,0.26,250,7,19,25,0.01,0.561,0.496
1.0,0.28,400,7,19,24,0.01,0.561,0.433
0.7,0.04,500,7,8,25,0.01,0.375,0.664
0.8,0.2,400,7,19,24,0.01,0.561,0.433
0.8,0.1,300,7,9,14,0.01,0.444,0.529
0.5,0.18,350,1,9,20,0.01,0.667,0.62
0.9,0.38,400,7,19,24,0.01,0.561,0.433
0.4,0.32,250,7,19,25,0.01,0.561,0.496
0.6,0.46,250,7,19,25,0.01,0.561,0.496
0.5,0.2,300,7,9,14,0.01,0.444,0.529
0.4,0.36,300,7,9,14,0.01,0.444,0.529
0.3,0.16,250,7,19,25,0.01,0.561,0.496
0.1,0.28,200,7,19,25,0.01,0.737,0.576
1.0,0.38,400,7,19,24,0.01,0.561,0.433
0.3,0.16,100,1,9,20,0.01,0.667,0.62
0.8,0.1,400,7,19,24,0.01,0.561,0.433
0.4,0.28,350,1,9,20,0.01,0.667,0.62
0.1,0.36,400,7,19,24,0.01,0.561,0.433
0.3,0.04,100,1,9,20,0.01,0.667,0.62
0.3,0.04,400,7,19,24,0.01,0.561,0.433
0.4,0.38,300,7,9,14,0.01,0.444,0.529
0.9,0.3,300,7,9,14,0.01,0.444,0.529
0.2,0.48,400,7,19,24,0.01,0.561,0.433
0.4,0.14,350,1,9,20,0.01,0.667,0.62
0.3,0.48,450,1,19,19,0.01,0.842,0.505
0.6,0.2,200,1,18,22,0.01,0.704,0.491
0.3,0.06,250,7,19,25,0.01,0.561,0.496
0.6,0.42,150,7,19,24,0.01,0.561,0.433
0.9,0.46,150,7,19,24,0.01,0.561,0.433
0.6,0.2,300,7,9,14,0.01,0.444,0.529
0.7,0.32,200,7,14,21,0.01,0.643,0.543
0.4,0.24,400,7,19,24,0.01,0.561,0.433
0.5,0.22,350,1,9,20,0.01,0.667,0.62
0.4,0.02,100,1,9,20,0.01,0.667,0.62
0.6,0.12,400,7,19,24,0.01,0.561,0.433
0.5,0.14,350,1,9,20,0.01,0.667,0.62
1.0,0.32,150,7,19,24,0.01,0.561,0.433
0.9,0.06,200,7,14,27,0.01,0.643,0.622
0.3,0.36,150,7,19,24,0.01,0.561,0.433
0.2,0.18,300,7,9,14,0.01,0.444,0.529
0.3,0.28,150,7,19,24,0.01,0.561,0.433
0.5,0.34,400,7,19,24,0.01,0.561,0.433
0.9,0.34,500,7,8,25,0.01,0.375,0.664
0.2,0.16,200,7,19,25,0.01,0.737,0.576
0.7,0.32,350,1,9,20,0.01,0.667,0.62
0.8,0.36,350,1,9,20,0.01,0.667,0.62
0.4,0.24,150,7,19,24,0.01,0.561,0.433
0.7,0.4,500,7,8,25,0.01,0.375,0.664
0.2,0.22,350,1,9,20,0.01,0.667,0.62
0.4,0.2,250,7,19,25,0.01,0.561,0.496
0.6,0.06,250,7,19,25,0.01,0.561,0.496
0.3,0.44,100,7,8,9,0.01,0.417,0.333
0.2,0.26,200,7,19,25,0.01,0.737,0.576
0.6,0.16,450,1,19,19,0.01,0.842,0.505
0.7,0.48,200,1,14,22,0.01,0.786,0.664
0.2,0.1,300,7,9,14,0.01,0.444,0.529
0.2,0.24,200,7,18,24,0.01,0.537,0.492
0.4,0.08,500,7,8,25,0.01,0.375,0.664
0.8,0.16,400,7,19,24,0.01,0.561,0.433
0.8,0.42,350,1,9,20,0.01,0.667,0.62
0.2,0.32,100,7,8,14,0.01,0.417,0.571
0.6,0.46,500,7,8,25,0.01,0.375,0.664
0.8,0.04,200,7,19,21,0.01,0.561,0.381
0.5,0.42,150,7,19,24,0.01,0.561,0.433
0.8,0.38,450,1,19,19,0.01,0.842,0.505
1.0,0.18,100,7,14,22,0.01,0.643,0.609
1.0,0.44,250,7,19,25,0.01,0.561,0.496
0.8,0.08,150,7,19,24,0.01,0.561,0.433
0.7,0.42,100,1,9,20,0.01,0.667,0.62
0.6,0.44,100,1,15,23,0.01,0.644,0.557
0.4,0.24,450,1,19,19,0.01,0.842,0.505
0.6,0.38,150,7,19,24,0.01,0.561,0.433
0.2,0.16,250,7,19,25,0.01,0.561,0.496
1.0,0.36,400,7,19,24,0.01,0.561,0.433
0.4,0.4,300,7,9,14,0.01,0.444,0.529
0.1,0.02,100,1,9,20,0.01,0.667,0.62
0.1,0.3,400,7,19,24,0.01,0.561,0.433
0.5,0.46,100,7,9,20,0.01,0.444,0.67
0.7,0.48,450,1,19,19,0.01,0.842,0.505
0.5,0.32,450,1,19,19,0.01,0.842,0.505
0.5,0.44,500,7,8,25,0.01,0.375,0.664
0.7,0.26,450,1,19,19,0.01,0.842,0.505
0.4,0.16,200,7,19,20,0.01,0.737,0.47
0.8,0.48,100,1,8,9,0.01,0.625,0.444
0.1,0.34,400,7,19,24,0.01,0.561,0.433
0.2,0.4,300,7,9,14,0.01,0.444,0.529
0.4,0.1,200,7,19,25,0.01,0.561,0.496
0.4,0.3,400,7,19,24,0.01,0.561,0.433
0.2,0.36,350,1,9,20,0.01,0.667,0.62
1.0,0.32,300,7,9,14,0.01,0.444,0.529
0.2,0.04,100,1,9,20,0.01,0.667,0.62
0.9,0.48,450,1,19,19,0.01,0.842,0.505
0.2,0.32,350,1,9,20,0.01,0.667,0.62
0.1,0.08,250,7,19,25,0.01,0.561,0.496
0.6,0.48,450,1,19,19,0.01,0.842,0.505
0.6,0.12,150,7,19,24,0.01,0.561,0.433
0.1,0.1,200,7,19,25,0.01,0.737,0.576
1.0,0.12,300,7,9,14,0.01,0.444,0.529
1.0,0.34,150,7,19,24,0.01,0.561,0.433
0.8,0.24,450,1,19,19,0.01,0.842,0.505
0.2,0.06,100,1,9,20,0.01,0.667,0.62
0.3,0.16,200,7,14,22,0.01,0.643,0.536
0.7,0.28,450,1,19,19,0.01,0.842,0.505
0.7,0.18,200,1,14,22,0.01,0.786,0.664
1.0,0.38,250,7,19,25,0.01,0.561,0.496
0.4,0.46,350,1,9,20,0.01,0.667,0.62
0.9,0.1,300,7,9,14,0.01,0.444,0.529
0.6,0.08,400,7,19,24,0.01,0.561,0.433
1.0,0.4,150,7,19,24,0.01,0.561,0.433
0.7,0.44,450,1,19,19,0.01,0.842,0.505
1.0,0.42,300,7,9,14,0.01,0.444,0.529
0.1,0.38,200,7,8,15,0.01,0.375,0.573
0.5,0.38,200,7,18,21,0.01,0.537,0.39
0.4,0.32,350,1,9,20,0.01,0.667,0.62
0.2,0.08,150,7,19,24,0.01,0.561,0.433
0.3,0.48,200,7,8,16,0.01,0.417,0.55
0.5,0.06,350,1,9,20,0.01,0.667,0.62
1.0,0.12,150,7,19,24,0.01,0.561,0.433
0.6,0.02,500,7,8,25,0.01,0.375,0.664
0.3,0.48,400,7,19,24,0.01,0.561,0.433
0.1,0.44,450,1,19,19,0.01,0.842,0.505
0.7,0.42,350,1,9,20,0.01,0.667,0.62
1.0,0.34,350,1,9,20,0.01,0.667,0.62
0.8,0.1,450,1,19,19,0.01,0.842,0.505
0.1,0.02,250,7,19,25,0.01,0.561,0.496
0.4,0.42,350,1,9,20,0.01,0.667,0.62
0.4,0.28,400,7,19,24,0.01,0.561,0.433
0.8,0.2,250,7,19,25,0.01,0.561,0.496
0.9,0.04,500,7,8,25,0.01,0.375,0.664
0.6,0.16,350,1,9,20,0.01,0.667,0.62
0.3,0.08,400,7,19,24,0.01,0.561,0.433
0.8,0.06,500,7,8,25,0.01,0.375,0.664
0.4,0.26,150,7,19,24,0.01,0.561,0.433
0.9,0.4,200,7,19,27,0.01,0.737,0.585
0.6,0.34,150,7,19,24,0.01,0.561,0.433
0.5,0.1,150,7,19,24,0.01,0.561,0.433
1.0,0.04,250,7,19,25,0.01,0.561,0.496
0.4,0.2,400,7,19,24,0.01,0.561,0.433
0.7,0.2,250,7,19,25,0.01,0.561,0.496
0.9,0.4,400,7,19,24,0.01,0.561,0.433
1.0,0.02,400,7,19,24,0.01,0.561,0.433
0.5,0.32,100,1,9,20,0.01,0.667,0.62
0.8,0.02,450,1,19,19,0.01,0.842,0.505
1.0,0.24,450,1,19,19,0.01,0.842,0.505
0.5,0.04,450,1,19,19,0.01,0.842,0.505
0.5,0.08,100,1,9,20,0.01,0.667,0.62
0.3,0.26,400,7,19,24,0.01,0.561,0.433
0.1,0.44,200,7,19,25,0.01,0.737,0.576
0.8,0.38,400,7,19,24,0.01,0.561,0.433
0.3,0.12,100,1,9,20,0.01,0.667,0.62
0.6,0.32,500,7,8,25,0.01,0.375,0.664
0.6,0.1,350,1,9,20,0.01,0.667,0.62
0.6,0.26,250,7,19,25,0.01,0.561,0.496
1.0,0.12,200,7,21,25,0.01,0.603,0.432
0.2,0.36,150,7,19,24,0.01,0.561,0.433
1.0,0.08,150,7,19,24,0.01,0.561,0.433
0.2,0.38,350,1,9,20,0.01,0.667,0.62
0.5,0.48,350,1,9,20,0.01,0.667,0.62
0.4,0.36,200,7,19,25,0.01,0.561,0.496
1.0,0.1,100,1,19,22,0.01,0.842,0.564
0.9,0.48,200,7,19,27,0.01,0.737,0.585
0.5,0.22,400,7,19,24,0.01,0.561,0.433
0.5,0.24,500,7,8,25,0.01,0.375,0.664
0.3,0.42,500,7,8,25,0.01,0.375,0.664
0.7,0.38,250,7,19,25,0.01,0.561,0.496
0.4,0.34,500,7,8,25,0.01,0.375,0.664
0.3,0.3,350,1,9,20,0.01,0.667,0.62
0.2,0.22,200,7,19,25,0.01,0.737,0.576
0.7,0.06,400,7,19,24,0.01,0.561,0.433
0.9,0.3,350,1,9,20,0.01,0.667,0.62
0.5,0.44,300,7,9,14,0.01,0.444,0.529
0.5,0.36,150,7,19,24,0.01,0.561,0.433
0.3,0.26,200,7,14,22,0.01,0.643,0.536
0.6,0.4,350,1,9,20,0.01,0.667,0.62
1.0,0.36,250,7,19,25,0.01,0.561,0.496
0.3,0.36,450,1,19,19,0.01,0.842,0.505
0.2,0.3,500,7,8,25,0.01,0.375,0.664
0.4,0.08,200,7,14,22,0.01,0.643,0.536
0.6,0.02,200,1,18,22,0.01,0.704,0.491
0.5,0.1,100,1,19,26,0.01,0.719,0.546
0.3,0.3,150,7,19,24,0.01,0.561,0.433
0.8,0.44,350,1,9,20,0.01,0.667,0.62
1.0,0.14,450,1,19,19,0.01,0.842,0.505
0.1,0.18,250,7,19,25,0.01,0.561,0.496
0.5,0.28,250,7,19,25,0.01,0.561,0.496
0.4,0.42,250,7,19,25,0.01,0.561,0.496
0.1,0.3,250,7,19,25,0.01,0.561,0.496
0.5,0.18,400,7,19,24,0.01,0.561,0.433
1.0,0.36,100,1,9,22,0.01,0.667,0.655
0.7,0.44,250,7,19,25,0.01,0.561,0.496
0.7,0.14,300,7,9,14,0.01,0.444,0.529
0.2,0.28,350,1,9,20,0.01,0.667,0.62
0.6,0.4,300,7,9,14,0.01,0.444,0.529
0.6,0.38,300,7,9,14,0.01,0.444,0.529
0.3,0.2,400,7,19,24,0.01,0.561,0.433
0.4,0.44,350,1,9,20,0.01,0.667,0.62
0.8,0.36,200,1,2,16,0.01,0.667,0.75
1.0,0.44,400,7,19,24,0.01,0.561,0.433
0.7,0.28,100,1,9,20,0.01,0.667,0.62
0.1,0.16,150,7,19,24,0.01,0.561,0.433
0.1,0.48,500,7,8,25,0.01,0.375,0.664
0.9,0.32,200,7,14,27,0.01,0.643,0.622
0.5,0.18,500,7,8,25,0.01,0.375,0.664
0.1,0.18,500,7,8,25,0.01,0.375,0.664
