cp,mp,popSize,top_1,top_3,top_5,avg_exam_1,avg_exam_3,avg_exam_5
0.1,0.1,500,7,8,25,0.01,0.375,0.664
0.6,0.8,100,7,18,23,0.01,0.537,0.47
0.7,0.4,100,1,9,20,0.01,0.667,0.62
0.8,0.5,50,1,8,9,0.01,0.917,0.6
0.9,0.3,450,1,19,19,0.01,0.842,0.505
0.3,0.1,300,7,9,14,0.01,0.444,0.529
0.1,0.1,300,7,9,14,0.01,0.444,0.529
0.8,0.5,100,7,18,19,0.01,0.741,0.463
0.5,0.9,150,7,19,24,0.01,0.561,0.433
0.6,0.4,400,7,19,24,0.01,0.561,0.433
0.3,1,50,7,8,15,0.01,0.417,0.52
1,0.2,350,1,9,20,0.01,0.667,0.62
0.6,0.8,300,7,9,14,0.01,0.444,0.529
0.3,0.9,100,1,16,21,0.01,0.667,0.543
0.1,0.9,50,7,8,8,0.01,0.375,0.225
0.4,0.8,50,7,9,20,0.01,0.444,0.67
0.2,0.7,300,7,9,14,0.01,0.444,0.529
0.4,0.2,50,1,19,24,0.01,0.719,0.508
0.1,0.6,150,7,19,24,0.01,0.561,0.433
1,0.5,250,7,19,25,0.01,0.561,0.496
0.5,0.8,300,7,9,14,0.01,0.444,0.529
0.4,0.2,150,7,19,24,0.01,0.561,0.433
0.9,0.6,200,7,19,27,0.01,0.737,0.585
0.8,0.9,500,7,8,25,0.01,0.375,0.664
0.6,0.1,50,1,8,19,0.01,0.917,0.747
0.3,0.7,100,1,8,15,0.01,0.917,0.747
0.2,0.5,200,1,9,18,0.01,0.926,0.778
1,0.3,200,7,21,25,0.01,0.603,0.432
0.7,0.7,50,7,18,23,0.01,0.741,0.565
0.4,0.6,250,7,19,25,0.01,0.561,0.496
0.3,0.3,250,7,19,25,0.01,0.561,0.496
0.9,0.9,300,7,9,14,0.01,0.444,0.529
0.8,0.2,450,1,19,19,0.01,0.842,0.505
0.1,0.6,450,1,19,19,0.01,0.842,0.505
0.9,0.6,250,7,19,25,0.01,0.561,0.496
0.8,0.8,400,7,19,24,0.01,0.561,0.433
0.9,0.4,300,7,9,14,0.01,0.444,0.529
0.6,0.6,100,1,14,19,0.01,0.786,0.558
0.1,1,200,7,19,25,0.01,0.737,0.576
0.7,0.7,400,7,19,24,0.01,0.561,0.433
0.5,0.3,100,1,9,20,0.01,0.667,0.62
0.9,0.6,150,7,19,24,0.01,0.561,0.433
0.4,0.5,450,1,19,19,0.01,0.842,0.505
0.2,0.6,500,7,8,25,0.01,0.375,0.664
0.7,0.8,200,1,15,19,0.01,0.644,0.516
0.7,0.6,200,7,21,21,0.01,0.603,0.362
1,0.3,500,7,8,25,0.01,0.375,0.664
0.5,0.9,300,7,9,14,0.01,0.444,0.529
1,0.4,50,7,8,14,0.01,0.417,0.486
0.9,0.7,450,1,19,19,0.01,0.842,0.505
0.4,0.6,100,7,19,26,0.01,0.737,0.554
0.2,0.1,150,7,19,24,0.01,0.561,0.433
0.5,0.3,400,7,19,24,0.01,0.561,0.433
